"","port","vessel_name","MMSI","lat","lon"
"1","ANZIO","ANGELO PADRE II","247091080",41.4453390569942,12.6379987763435
"2","ANZIO","ARCOBALENO","247096440",41.44604774812,12.6400850552833
"3","ANZIO","AUDACE","247082290",41.44604774812,12.6400850552833
"4","ANZIO","GIANNA","247096470",41.44604774812,12.6400850552833
"5","ANZIO","IMPAVIDO I`","247088050",41.44604774812,12.6400850552833
"6","ANZIO","LUEMA","247081850",41.44604774812,12.6400850552833
"7","ANZIO","LUNA ROSSA 1","247067010",41.44604774812,12.6400850552833
"8","ANZIO","MARE-BLU   : .","247252970",41.44604774812,12.6400850552833
"9","ANZIO","N SAN SILVESTRE","247148880",41.4441733623695,12.6347333718804
"10","ANZIO","N.PESCE VOLANTE","247091090",41.44604774812,12.6400850552833
"11","ANZIO","PAOLA MADRE","247090910",41.44604774812,12.6400850552833
"12","ANZIO","RAFFAELLA MADRE","247115050",41.4453974459561,12.6371791908257
"13","ANZIO","RAIMONDO SFERLAZZO","247250620",41.4461188551632,12.6415286591739
"14","ANZIO","RINASCITA","247090950",41.44604774812,12.6400850552833
"15","ANZIO","ROSA 1","247091110",41.44604774812,12.6400850552833
"16","ANZIO","SAVERIO_P","247080330",41.44604774812,12.6400850552833
"17","ANZIO","STELLA MADRE","247096450",41.44604774812,12.6400850552833
"18","ANZIO","STELLA ROSSA","247090850",41.44604774812,12.6400850552833
"19","CALA GALERA","ANGELA MADRE","247068110",42.3933333814012,11.2158824440124
"20","CALA GALERA","FRECCIA","247068070",42.3933333814012,11.2158824440124
"21","CALA GALERA","GIANNI RIVERA","247066180",42.4008018709302,11.2090378396429
"22","CALA GALERA","LEONE MARCO","247099830",42.4008018709302,11.2090378396429
"23","CALA GALERA","MARETTO","247066290",42.3933333814012,11.2158824440124
"24","CALA GALERA","MP LEDO","247222320",42.3933333814012,11.2158824440124
"25","CALA GALERA","PRIMO","247042630",42.3933333814012,11.2158824440124
"26","CALA GALERA","TOMMASO DE SIMONE","247110830",42.3933333814012,11.2158824440124
"27","CAMOGLI","ARINA MADRE","247045120",44.3463009013314,9.14828300326812
"28","CAMOGLI","IL GIOVANNUCCIO","247045080",44.3487868580502,9.14895288565856
"29","CAMOGLI","JAZZ","247200190",44.3463009013314,9.14828300326812
"30","CHIAVARI","ARDITO","247044930",44.3122323205943,9.31963210442198
"31","CHIAVARI","JAZZ","247200190",44.3122323205943,9.31963210442198
"32","CIVITAVECCHIA","CRESCENZO 1","247128190",42.0923931203533,11.7591792234305
"33","CIVITAVECCHIA","DESTRIERO I","247122360",42.0870058501233,11.7560300541042
"34","CIVITAVECCHIA","FORTUNATA","247099810",42.0923931203533,11.7591792234305
"35","CIVITAVECCHIA","LA FENICE","247099820",42.0871842441641,11.7617138502873
"36","CIVITAVECCHIA","LEONE MARCO","247099830",42.0890653752972,11.7641062067629
"37","CIVITAVECCHIA","LIDA ASSUNTA","247094280",42.0890653752972,11.7641062067629
"38","CIVITAVECCHIA","M/P SS. TRINITA","247094260",42.0787879676793,11.7500577021525
"39","CIVITAVECCHIA","MARIA ROSA","247111950",42.0870058501233,11.7560300541042
"40","CIVITAVECCHIA","N SAN SILVESTRE","247148880",42.0929824548961,11.7881579953199
"41","CIVITAVECCHIA","OSCAR","247094340",42.089848791217,11.7689165644743
"42","CIVITAVECCHIA","S. FERMINA","247094310",42.0886210428993,11.7631215797976
"43","CIVITAVECCHIA","SS ANNUNZIATA","247099790",42.0929632864464,11.7650103116922
"44","CIVITAVECCHIA","TOMMASO DE SIMONE","247110830",42.0929632864464,11.7650103116922
"45","CIVITAVECCHIA","VINCENZO PADRE","247094330",42.0929632864464,11.7650103116922
"46","FIUMICINO","AGOSTINO IMPERATO","247092790",41.7711940938328,12.2237002956995
"47","FIUMICINO","ANTONIO FRANCESCA M.","247093030",41.7601252429848,12.2282219075694
"48","FIUMICINO","BEATO MATTEO","247093050",41.771297903227,12.2211568068975
"49","FIUMICINO","BISMARK","247092770",41.7601252429848,12.2282219075694
"50","FIUMICINO","DOLENTE LUCA","247092780",41.7711940938328,12.2237002956995
"51","FIUMICINO","GIACOMO","247093040",41.7711940938328,12.2237002956995
"52","FIUMICINO","GUERRIERO","247068780",41.7601252429848,12.2282219075694
"53","FIUMICINO","IMPERO ROMANO","247094320",41.7711940938328,12.2237002956995
"54","FIUMICINO","JAMAICA","247092810",41.7546423514836,12.2304191277109
"55","FIUMICINO","KENNEDY","247092980",41.7715047804669,12.2184861465085
"56","FIUMICINO","L ALBA","247119090",41.771297903227,12.2211568068975
"57","FIUMICINO","M/P SS. TRINITA","247094260",41.7715047804669,12.2184861465085
"58","FIUMICINO","MARE-BLU   : .","247252970",41.7377799225003,12.2423521089132
"59","FIUMICINO","MARIA","247093060",41.771297903227,12.2211568068975
"60","FIUMICINO","MARIAMADRE","247092830",41.7601252429848,12.2282219075694
"61","FIUMICINO","MARIANNA","247093010",41.7711940938328,12.2237002956995
"62","FIUMICINO","MP CLAUDIO PADRE","247123920",41.7546423514836,12.2304191277109
"63","FIUMICINO","MP FRANCESCO PADRE","247099360",41.7715047804669,12.2184861465085
"64","FIUMICINO","MP NUOVA LUCIA","247892860",41.7715047804669,12.2184861465085
"65","FIUMICINO","NONNA MARIA","247255310",41.7600903926705,12.2298751762418
"66","FIUMICINO","NONNO CIRO","247092850",41.7461510869944,12.2382817035623
"67","FIUMICINO","S.VINCENZO","247092920",41.771297903227,12.2211568068975
"68","FIUMICINO","SAN.PIETRO I","247149790",41.771297903227,12.2211568068975
"69","GENOA","ARDITO","247044930",44.3581810609495,9.04919960233327
"70","GENOA","IL GIOVANNUCCIO","247045080",44.3581810609495,9.04919960233327
"71","GENOA","JAZZ","247200190",44.3764611196628,8.96792842168776
"72","GIGLIO PORTO","FOLGORE","247132750",42.3448331102186,10.9268146233272
"73","GIGLIO PORTO","FURORE","247101230",42.3448331102186,10.9268146233272
"74","ITA-110","CESARINA","247220290",42.8159292743678,10.4310569191478
"75","ITA-110","MISS MARY","247066930",42.8159292743678,10.4310569191478
"76","ITA-115","FRANCESCO GIACALONE","247147190",42.8213236024665,10.2685620858904
"77","ITA-115","LIBERA","247096930",42.8213236024665,10.2685620858904
"78","ITA-115","MARIA GRAZIA","247143620",42.8213236024665,10.2685620858904
"79","ITA-115","NUOVA MAREA","247220130",42.8213236024665,10.2685620858904
"80","ITA-115","ORLANDO","247149250",42.8213236024665,10.2685620858904
"81","ITA-167","N SAN SILVESTRE","247148880",42.8644198817061,10.424691532509
"82","ITA-167","NUOVA MAREA","247220130",42.8644198817061,10.424691532509
"83","ITA-176","GINO","247150870",42.3688702882779,10.8757388692602
"84","ITA-206","M/P SS. TRINITA","247094260",42.061387761415,11.8126176239045
"85","ITA-206","MP NUOVA LUCIA","247892860",42.061387761415,11.8126176239045
"86","ITA-273","BACICIN V","247049280",44.3992996740959,8.68794462364634
"87","ITA-273","P.D`ERCOLE","247204460",44.3992996740959,8.68794462364634
"88","ITA-279","CHIMERA","247206670",44.1746028223328,8.37139885767255
"89","ITA-297","ANGELA MADRE","247068110",42.3720501130125,11.192584570431
"90","ITA-297","FRECCIA","247068070",42.3720501130125,11.192584570431
"91","ITA-297","FRIDA","247065690",42.3720501130125,11.192584570431
"92","ITA-297","MARETTO","247066290",42.3720501130125,11.192584570431
"93","ITA-297","MP LEDO","247222320",42.3720501130125,11.192584570431
"94","ITA-297","NETTUNO II","247065720",42.3720501130125,11.192584570431
"95","ITA-297","PRIMO","247042630",42.3720501130125,11.192584570431
"96","ITA-338","LUNA ROSSA 1","247067010",41.561373549233,12.484200292491
"97","ITA-338","N.PESCE VOLANTE","247091090",41.561373549233,12.484200292491
"98","ITA-338","PAOLA MADRE","247090910",41.561373549233,12.484200292491
"99","ITA-368","M/P SS. TRINITA","247094260",42.1237890222318,11.75556116728
"100","LA SPEZIA","MICHELANGELO","247044750",44.1019801190686,9.82631814708337
"101","LAVAGNA","JAZZ","247200190",44.3071611275445,9.33698935031076
"102","LIVORNO","ANASTASIA","247066860",43.5694182135006,10.2986945491129
"103","LIVORNO","ER PIU","247064930",43.5606328094395,10.298220090024
"104","LIVORNO","LUNA ROSSA 1","247067010",43.5472424816845,10.2994130986306
"105","LIVORNO","MISS MARY","247066930",43.5715785590853,10.3005412852891
"106","LIVORNO","MORLE II","247081680",43.5694182135006,10.2986945491129
"107","LOANO","CHIMERA","247206670",44.1335488655709,8.26775040117786
"108","LOANO","PEGASO S.B.","247146890",44.1326502488158,8.26754716956984
"109","MARCIANA MARINA","NUOVA MAREA","247220130",42.8088069315964,10.1970174333997
"110","MARCIANA MARINA","ORLANDO","247149250",42.8086686722801,10.1985398983622
"111","MARINA DI CARRARA","MICHELANGELO","247044750",44.013264891155,10.0276009517839
"112","MARINA DI SALIVOLI","CESARINA","247220290",42.9307276189194,10.5072973764337
"113","MARINA DI SALIVOLI","MONSSER","247044790",42.9307276189194,10.5072973764337
"114","MARINA DI SALIVOLI","N SAN SILVESTRE","247148880",42.9307276189194,10.5072973764337
"115","MARINA DI SALIVOLI","NUOVA MAREA","247220130",42.9307276189194,10.5072973764337
"116","MARINA DI SALIVOLI","ORLANDO","247149250",42.9307276189194,10.5072973764337
"117","PIOMBINO","CESARINA","247220290",42.9216049024911,10.5571806601608
"118","PIOMBINO","MONSSER","247044790",42.9240898243637,10.5578415973341
"119","PIOMBINO","N SAN SILVESTRE","247148880",42.9165384376645,10.5632899995317
"120","PIOMBINO","NUOVA MAREA","247220130",42.9303095123106,10.5465741391089
"121","PIOMBINO","ORLANDO","247149250",42.9288811924768,10.548186296799
"122","PORTO AZZURRO","MARIA GRAZIA","247143620",42.7460915486712,10.4139304454571
"123","PORTO AZZURRO","NETTUNO II","247065720",42.7701816039627,10.4197362633593
"124","PORTO AZZURRO","NUOVA MAREA","247220130",42.7701816039627,10.4197362633593
"125","PORTO FERRAIO","FRANCESCO GIACALONE","247147190",42.811955406016,10.3348515545555
"126","PORTO FERRAIO","LIBERA","247096930",42.8130861496699,10.3327515896564
"127","PORTO FERRAIO","MARIA GRAZIA","247143620",42.8142168933239,10.3306516247573
"128","PORTO FERRAIO","MICHELE GIACALONE","247149010",42.8142168933239,10.3306516247573
"129","PORTO FERRAIO","N SAN SILVESTRE","247148880",42.811955406016,10.3348515545555
"130","PORTO FERRAIO","NUOVA MAREA","247220130",42.8110538875927,10.3368200962349
"131","PORTO FERRAIO","NUOVO GIACOMO PRIMO","247144430",42.8142168933239,10.3306516247573
"132","PORTO FERRAIO","ORLANDO","247149250",42.8142168933239,10.3306516247573
"133","PORTO FERRAIO","SICULAPESCA","247146950",42.8142168933239,10.3306516247573
"134","PORTO FERRAIO","VALENTINO GIACALONE","247145030",42.8142168933239,10.3306516247573
"135","PORTO SANTO STEFANO","BARRACUDA","247225880",42.4404977692319,11.1210522304815
"136","PORTO SANTO STEFANO","CERNIA","247303790",42.4415069723724,11.122292318463
"137","PORTO SANTO STEFANO","CITTA DI VIAREGGIO","247067610",42.4415640693576,11.1188896280981
"138","PORTO SANTO STEFANO","FOLGORE","247132750",42.4415098813933,11.1196438994333
"139","PORTO SANTO STEFANO","FRIDA","247065690",42.4407625704335,11.1199386554583
"140","PORTO SANTO STEFANO","FURORE","247101230",42.4413439033857,11.1209170159957
"141","PORTO SANTO STEFANO","GIANNI RIVERA","247066180",42.4415091177828,11.12056731091
"142","PORTO SANTO STEFANO","GINO","247150870",42.4404107191991,11.1201311966812
"143","PORTO SANTO STEFANO","GIORGIA","247066190",42.441384544359,11.1203513124943
"144","PORTO SANTO STEFANO","GIUBILEO","247300170",42.4415640693576,11.1188896280981
"145","PORTO SANTO STEFANO","ISABELLA","247065440",42.4415640693576,11.1188896280981
"146","PORTO SANTO STEFANO","LIBERA","247096930",42.4404107191991,11.1201311966812
"147","PORTO SANTO STEFANO","MIRELLA","247065730",42.4415416305614,11.1201147481088
"148","PORTO SANTO STEFANO","MP NUOVO ATLANTIC","247065750",42.441384544359,11.1203513124943
"149","PORTO SANTO STEFANO","N SAN SILVESTRE","247148880",42.4413439033857,11.1209170159957
"150","PORTO SANTO STEFANO","NETTUNO II","247065720",42.4404107191991,11.1201311966812
"151","PORTO SANTO STEFANO","NONNO DINO","247072840",42.4404107191991,11.1201311966812
"152","PORTO SANTO STEFANO","ONDAMARINA","247041470",42.4415098813933,11.1196438994333
"153","PORTO SANTO STEFANO","OSCAR","247094340",42.4369506687233,11.1238559024303
"154","PORTO SANTO STEFANO","PEGASO S.B.","247146890",42.4462850053238,11.1190926150718
"155","PORTO SANTO STEFANO","SABRINA E GIADA","247147420",42.4407764702551,11.1207382738291
"156","PORTO SANTO STEFANO","STELLA MARIS","247152290",42.4413439033857,11.1209170159957
"157","PORTOFINO","ARDITO","247044930",44.3084616629998,9.22621550250844
"158","PORTOFINO","ARINA MADRE","247045120",44.3100444943404,9.22236960006283
"159","PORTOFINO","IMPAVIDO","247045140",44.300631683599,9.2228947366057
"160","PORTOFINO","IRENE","247123990",44.3090506626157,9.21576231662993
"161","PORTOFINO","JAZZ","247200190",44.2979374114042,9.21573489725824
"162","PORTOFINO","M/P PALMA II","247063320",44.3106944468459,9.22290891150443
"163","PORTOFINO","MONELLO","247044970",44.3078180363125,9.22432358379844
"164","PORTOFINO","MP/ACQUARIO","247044910",44.3084616629998,9.22621550250844
"165","PORTOFINO","N.VITTORIO-FILIPPO","247044920",44.3070438528847,9.22232379780872
"166","PORTOFINO","NIAGARA","247322660",44.3082930539588,9.2211253412976
"167","PORTOFINO","NUOV ALESSIA","247126680",44.3082930539588,9.2211253412976
"168","PORTOFINO","POTTY 2","247045060",44.3100452477354,9.22438343120866
"169","PORTOFINO","TERESA MADRE","247041670",44.3090689364071,9.22446741509017
"170","PORTOVENERE","MICHELANGELO","247044750",44.0502026068289,9.84588175294522
"171","PORTOVENERE","NUOVO SPLENDORE II","247150210",44.0515781459958,9.8372502985959
"172","PORTOVENERE","ONDAMARINA","247041470",44.0626102790954,9.84740264696764
"173","SAN LORENZO AL MARE","M/P MINA","247048870",43.8582877433308,7.96931702452831
"174","SANREMO","F/V GRAZIA ROSA II","247048990",43.814428722456,7.79005286344092
"175","SANREMO","F/V PATRIZIA","247042850",43.814428722456,7.79005286344092
"176","SANREMO","F/V PORTERA","247202650",43.814428722456,7.79005286344092
"177","SANREMO","M/P LOBNA 1","247202490",43.814428722456,7.79005286344092
"178","SANREMO","M/P MINA","247048870",43.814428722456,7.79005286344092
"179","SANTA MARINELLA","IMPERO ROMANO","247094320",42.0351410760321,11.8744507210639
"180","SANTA MARINELLA","MP NUOVA LUCIA","247892860",42.0350203857578,11.876874945071
"181","SANTO STEFANO","F/V PORTERA","247202650",43.8364192416308,7.90805421178352
"182","SANTO STEFANO","M/P MINA","247048870",43.8370724305794,7.91036965301162
"183","SAVONA","BACICIN V","247049280",44.2989368850423,8.50346815233461
"184","SAVONA","P.D`ERCOLE","247204460",44.2989368850423,8.50346815233461
"185","SESTRI LEVANTE","ARDITO","247044930",44.2691303888065,9.38340493099275
"186","SESTRI LEVANTE","ILCORSARO","247103220",44.2714163135697,9.38485098555723
"187","SESTRI LEVANTE","JAZZ","247200190",44.2714163135697,9.38485098555723
"188","SESTRI LEVANTE","SGIUSEPPE","247045180",44.2714163135697,9.38485098555723
"189","SESTRI LEVANTE","TERESA MADRE","247041670",44.2691303888065,9.38340493099275
"190","VARAZZE","BACICIN V","247049280",44.3505604372733,8.5684005599877
"191","VARAZZE","P.D`ERCOLE","247204460",44.3516878657204,8.56839533980923
"192","VIAREGGIO","ANASTASIA","247066860",43.8620892892973,10.2361112480486
"193","VIAREGGIO","CARMELA FIGLIA","247063630",43.8591175667869,10.2382039206973
"194","VIAREGGIO","ER PIU","247064930",43.8561458442765,10.2402965933461
"195","VIAREGGIO","MORLE II","247081680",43.8561458442765,10.2402965933461
"196","VIAREGGIO","SOFA'","247063360",43.8591175667869,10.2382039206973
